book_id	title	author	publication_year	summary	page_count	lang	image_url
1	The Hunger Games (The Hunger Games, #1)	Suzanne Collins	2008	 Winning means fame and fortune. Losing means certain death. The Hunger Games have begun. . . . In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV. Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before-and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weigh survival against humanity and life against love.	374	en	https://images.gr-assets.com/books/1447303603m/2767052.jpg
2	Harry Potter and the Order of the Phoenix	J. K. Rowling, Mary GrandPré	2004	Harry Potter series #5.	870	en	http://books.google.com/books/content?id=JkWNPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
3	Pride and Prejudice	Jane Austen	2001	Elizabeth Bennet is Austen’s most liberated and unambiguously appealing heroine, and Pride and Prejudice has remained over most of the past two centuries Austen’s most popular novel. The story turns on the marriage prospects of the five daughters of Mr. and Mrs. Bennet: Elizabeth forms a prejudice against the proud and distant Mr. Darcy; Darcy’s charming friend Charles Bingley falls in love with her sister Jane; and the handsome officer George Wickham forms attachments successively to Elizabeth and to her sister Lydia. Irvine’s extensive introduction sets the novel in the context of the literary and intellectual history of the period, and deals with such crucial background issues as early-nineteenth century class relations in Britain, and female exclusion from property and power. The appendices present an unrivaled selection of background contextual documents.	502	en	http://books.google.com/books/content?id=mxDLY0qL2mAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
4	To Kill a Mockingbird 40th	Harper Lee	1999	The explosion of racial hate and violence in a small Alabama town is viewed by a little girl whose father defends a Black man accused of rape	350	en	http://books.google.com/books/content?id=ayJpGQeyxgkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
5	The Book Thief [by] Markus Zusak	Victoria M. Jones, Center for Learning	2011	Curriculum Unit	102	en	
6	The Twilight Saga: The Official Illustrated Guide	Stephenie Meyer	2011	"Immerse yourself in the world of Twilight with the official illustrated guide to the #1 New York Times bestselling series featuring exclusive illustrations, character profiles, and more! This must-have edition -- the only official guide -- is the definitive encyclopedic reference to the Twilight Saga and provides readers with everything they need to further explore the unforgettable world Stephenie Meyer created in Twilight, New Moon, Eclipse, Breaking Dawn, and The Short Second Life of Bree Tanner. This comprehensive handbook -- essential for every Twilight Saga fan -- is full-color throughout with nearly 100 gorgeous illustrations and photographs and with exclusive material, character profiles, genealogical charts, maps, extensive cross-references, and much more. It's here! #1 bestselling author Stephenie Meyer makes a triumphant return to the world of Twilight with the highly anticipated companion, Midnight Sun: the iconic love story of Bella and Edward told from the vampire's point of view. ""People do not want to just read Meyer's books; they want to climb inside them and live there."" -- Time ""A literary phenomenon."" -- The New York Times"	401	en	http://books.google.com/books/content?id=vwPI9oJXKiIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
7	Animal Farm	George Orwell	2021	All animals are equal but some animals are more equal than others. It's just an ordinary farm - until the animals revolt. They get rid of the irresponsible farmer. The other animals are sure that life is improving, but as systems are replaced and half-truths are retold, a new hierarchy emerges . . . Orwell's tale of propaganda, power and greed has never felt more pertinent. With an exciting new cover and inside illustrations by superstar Chris Mould.	163	en	http://books.google.com/books/content?id=o8rrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
8	The Hobbit / The Lord of the Rings	John Ronald Reuel Tolkien	2012	"Presents a box set including the complete ""Lord of the Rings"" trilogy, as well as its prequel, ""The Hobbit."""	0	en	http://books.google.com/books/content?id=XBaNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9	The Chronicles of Narnia Vol I: The Lion, the Witch, and the Wardrobe	C.S.Lewis	2016	The Lion, the Witch and the Wardrobe tells the story of four adventurous children: Peter, Susan, Edmund, and Lucy Pevensie, who have been evacuated to the English countryside in 1940 following the outbreak of World War II. They discover a wardrobe in Professor Digory Kirke's house that leads to the magical land of Narnia. Narnia is a charming, once peaceful land inhabited by talking beasts, dwarfs, fauns, and giants. Unfortunately, it has been frozen in eternal winter and enslaved by the power of the White Witch. The arrival of the children, with the return of the Great Lion Aslan , gives Narnia hope for liberation . . . but with a great sacrifice.	154	en	http://books.google.com/books/content?id=6EIoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
10	The Fault in Our Stars	John Green	2014	"From John Green, the #1 bestselling author of Turtles All the Way Down ""The greatest romance story of this decade."" --Entertainment Weekly -Millions of copies sold- #1 New York Times Bestseller #1 Wall Street Journal Bestseller #1 USA Today Bestseller #1 International Bestseller TIME Magazine's #1 Fiction Book of 2012 TODAY Book Club pick Now a Major Motion Picture Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten. Insightful, bold, irreverent, and raw, The Fault in Our Stars brilliantly explores the funny, thrilling, and tragic business of being alive and in love."	338	en	http://books.google.com/books/content?id=QiLaCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
