author_id	name	birthday	nationality
1	Suzanne Collins	1962-08-10	American
2	Mary GrandPré J. K. Rowling	1965-07-31	British
3	Jane Austen	1775-12-16	British
4	Harper Lee	1926-04-28	American
5	Center for Learning Victoria M. Jones		
6	Stephenie Meyer	1973-12-24	American
7	George Orwell	1903-06-25	British
8	John Ronald Reuel Tolkien	1892-01-03	British
9	C.S.Lewis	1898-11-29	British
10	John Green	1977-08-24	American
11	Oscar Wilde	1854-10-16	Irish
12	Shel Silverstein	1930-09-25	American
13	Margaret Mitchell	1900-11-08	American
14	Emily Brontë	1818-07-30	British
15	Stephen Chbosky	1970-01-25	American
16	Charlotte Brontë	1816-04-21	British
17	Rick Riordan	1964-06-05	American
18	F. Scott Fitzgerald	1896-09-24	American
19	Antoine de Saint-Exupéry	1900-06-29	French
20	John Helfers		
21	Lewis Carroll	1832-01-27	British
22	Fyodor Dostoyevsky	1821-11-11	Russian
23	Veronica Roth	1988-08-19	American
24	Arthur Golden	1956-12-06	American
25	Victor Hugo	1802-02-26	French
26	Paulo Coelho	1947-08-24	Brazilian
27	William Golding	1911-09-19	British
28	William Shakespeare	1564-04-26	English
29	L. M. Montgomery	1874-11-30	Canadian
30	Cassandra Clare	1973-07-27	American
31	Douglas Adams	1952-03-11	British
32	Kathryn Stockett	1969-01-01	American
33	Bram Stoker	1847-11-08	Irish
34	Orson Scott Card	1951-08-24	American
35	Kate DiCamillo E. B. White	1899-07-11	American
36	John Steinbeck	1902-02-27	American
37	Ray Bradbury	1920-08-22	American
38	J. D. Salinger	1919-01-01	American
39	Aldous Huxley	1894-07-26	British
40	Gabriel García Márquez	1927-03-06	Colombian
41	Khaled Hosseini	1965-03-04	Afghan-American
42	Audrey Niffenegger	1963-06-13	American
43	William Goldman	1931-08-12	American
44	Frances Hodgson Burnett	1849-11-24	British-American
45	George R. R. Martin	1948-09-20	American
46	S. E. Hinton	1948-07-22	American
47	Louisa May Alcott	1832-11-29	American
48	Madeleine L'Engle	1918-11-29	American
49	Homer	0800-01-01 BC	Greek
50	Mary Shelley	1797-08-30	British
51	J.K. Rowling	1965-07-31	British
52	Lois Lowry	1937-03-20	American
53	Margaret Atwood	1939-11-18	Canadian
54	Alice Sebold	1963-09-06	American
55	Maurice Sendak	1928-06-10	American
56	Mark Twain	1835-11-30	American
57	Dr. Seuss	1904-03-02	American
58	Yann Martel	1963-06-25	Canadian
59	Charles Dickens	1812-02-07	British
60	Vladimir Vladimirovich Nabokov	1899-04-22	Russian-American
61	Frank Herbert	1920-10-08	American
62	Jr. Kurt Vonnegut	1922-11-11	American
63	J. K. Rowling	1965-07-31	British
64	Sara Gruen	1969-01-01	Canadian-American
65	Sylvia Plath	1932-10-27	American
66	Roald Dahl	1916-09-13	British
67	Stephen King	1947-09-21	American
68	Joseph Heller	1923-05-01	American
69	Arthur Conan Doyle	1859-05-22	British
70	Ken Follett	1949-06-05	British
71	Jean Wardlaw		
72	Daphne du Maurier	1907-05-13	British
73	J. R. R. Tolkien	1892-01-03	British
74	Diana Gabaldon	1952-01-11	American
75	Stieg Larsson	1954-08-15	Swedish
76	Alice Walker	1944-02-09	American
77	Ken Kesey	1935-09-17	American
78	Leo Tolstoy	1828-09-09	Russian
79	Jodi Picoult	1966-05-19	American
80	Fyodor Dostoevsky	1821-11-11	Russian
81	Betty Smith	1896-12-15	American
82	Anthony Burgess	1917-02-25	British
83	Cormac McCarthy	1933-07-20	American
84	AGATHA CHRISTIE	1890-09-15	British
85	Philip Pullman	1946-10-19	British
86	Richelle Mead	1976-11-12	American
87	Hermann Hesse	1877-07-02	German-Swiss
88	Kolbe Christin		
89	Edgar Allan Poe	1809-01-19	American
90	Anne Rice	1941-10-04	American
91	Miguel De Cervantes Saavedra	1547-09-29	Spanish
92	Barbara Kingsolver	1955-04-08	American
93	Ernest Hemingway	1899-07-21	American
94	Ayn Rand	1905-02-02	Russian-American
95	Nicholas Sparks	1965-12-31	American
96	A. A. Milne	1882-01-18	British
97	Herman Melville	1819-08-01	American
98	John Irving	1942-03-02	American
99	Albert Camus	1913-11-07	French-Algerian
100	Sue Monk Kidd	1948-08-12	American
101	Anita Diamant	1951-06-27	American
102	Patrick Rothfuss	1973-06-06	American
103	Mikhail Bulgakov	1891-05-15	Russian
104	Franz Kafka	1883-07-03	Czech-Austrian
105	Jeffrey Eugenides	1960-03-08	American
106	Christopher Paolini	1983-11-17	American
107	Alexandre Dumas	1802-07-24	French
108	Eric Carle	1929-06-25	American
109	Mark Haddon	1962-09-26	British
110	Carlos Ruiz Zafón	1964-09-25	Spanish
111	C. S. (Clive Staples) Lewis C. S. (Clive Staples) C S Lewis	1898-11-29	British
112	Mitch Albom	1958-05-23	American
113	Milan Kundera	1929-04-01	Czech
114	Jack Kerouac	1922-03-12	American
115	Umberto Eco	1932-01-05	Italian
116	Wilson Rawls	1913-09-24	American
117	Mario Puzo	1920-10-15	American
118	Louis Sachar	1954-03-20	American
119	Truman Capote	1924-09-30	American
120	Patrick Süskind	1949-03-26	German
121	Nathaniel Hawthorne	1804-07-04	American
122	Chuck Palahniuk	1962-02-21	American
123	Neil Gaiman	1960-11-10	British
